"Q260","Q262","Q275","Q71","Q115","Q113","Q199","Q251","Q33"
1,33,2,1,2,2,3,9,3
1,69,6,3,3,3,3,3,1
2,60,0,1,2,2,1,5,2
1,31,3,1,2,2,3,2,4
2,29,3,3,2,2,4,5,4
1,29,6,2,3,2,2,6,2
2,18,3,1,2,2,2,7,3
1,28,7,1,2,2,2,6,3
1,29,3,2,2,2,2,9,4
2,32,6,2,2,2,3,7,5
2,25,6,1,2,2,2,8,5
2,25,3,2,2,1,3,5,3
1,63,2,-2,2,2,3,8,1
1,41,6,1,2,2,2,8,4
2,69,0,1,-1,-1,1,-1,2
2,31,6,1,2,1,2,6,4
1,37,3,2,2,2,2,8,3
2,34,7,2,2,2,3,9,5
1,23,3,1,2,2,1,7,2
2,45,3,4,3,3,2,5,4
2,30,6,2,2,2,3,6,2
2,34,6,1,2,2,3,8,4
1,33,6,2,3,3,2,1,3
1,64,3,1,2,2,3,10,4
1,44,6,2,2,2,3,7,4
2,41,6,1,2,2,3,6,2
2,57,2,1,2,2,3,7,1
2,60,0,1,2,2,1,10,1
1,35,-2,2,3,3,2,4,2
2,47,2,1,2,2,3,10,4
1,67,0,1,2,2,2,6,2
2,63,2,1,2,2,2,7,4
1,59,2,1,2,2,3,9,2
2,26,3,1,3,2,3,6,4
2,41,3,1,2,2,3,7,4
2,48,3,1,2,2,4,8,2
2,28,3,2,3,3,3,4,4
1,30,6,2,3,3,3,8,4
2,54,1,2,2,2,4,7,2
1,22,6,2,2,2,2,5,4
2,55,2,2,3,3,3,5,2
2,20,0,2,3,3,3,7,4
2,62,3,1,2,2,2,10,4
2,54,2,1,1,1,2,10,5
2,20,6,2,2,2,2,7,2
1,52,3,2,2,2,3,9,2
1,66,3,1,2,2,2,9,4
1,64,3,2,2,2,2,8,2
2,40,3,2,2,2,2,9,4
2,19,6,1,2,2,2,8,4
1,67,0,2,2,2,2,10,4
2,64,2,2,2,2,1,10,4
1,49,2,1,2,3,3,10,2
2,69,1,2,2,2,2,5,4
2,68,1,1,2,2,3,8,2
2,68,0,1,2,2,4,5,2
2,69,1,1,2,2,3,9,5
2,62,1,2,2,2,3,10,3
1,35,6,2,2,2,2,5,2
1,48,3,2,3,2,3,1,2
1,46,1,2,2,2,2,-2,5
2,49,2,2,1,1,1,6,4
2,68,3,1,2,2,3,10,1
2,34,2,2,3,3,3,5,2
1,46,6,2,2,2,3,6,5
1,54,2,2,2,2,3,1,2
1,48,1,1,2,2,2,6,4
1,30,3,2,2,2,2,6,2
1,58,6,2,3,3,3,6,2
2,47,2,2,2,2,4,9,4
2,38,6,2,3,3,2,4,2
1,23,3,1,2,2,3,5,4
1,68,0,1,2,2,3,10,4
1,46,6,2,2,2,3,7,3
2,59,2,2,2,2,3,5,3
1,19,3,1,2,2,3,8,2
2,43,3,2,2,2,2,8,2
1,37,2,2,3,3,4,6,1
2,58,2,1,3,2,2,5,2
1,68,2,2,3,3,2,3,3
1,66,1,3,3,2,2,5,5
2,29,2,3,3,3,3,3,4
2,62,3,2,3,2,3,3,4
1,35,2,2,2,2,3,5,3
2,67,0,2,2,2,2,10,2
1,60,2,2,2,2,3,-1,2
2,64,0,1,3,3,4,10,2
2,40,3,2,2,2,3,7,1
1,21,6,1,2,2,2,10,4
2,34,2,3,3,3,2,6,4
1,62,2,2,3,2,2,1,4
2,61,2,1,2,2,2,7,2
2,30,6,1,3,2,2,7,4
1,47,6,1,2,2,1,10,4
1,42,3,1,3,2,2,7,4
2,18,3,1,2,2,1,10,4
2,62,6,2,3,3,4,6,4
2,56,1,2,2,1,4,9,2
2,65,2,2,2,2,3,7,1
1,49,1,1,2,2,3,6,2
1,31,3,1,2,2,3,7,4
1,54,6,1,2,2,3,6,2
1,44,3,1,2,2,3,6,2
2,35,2,2,2,1,4,9,4
2,23,6,1,2,2,3,6,2
2,36,6,1,2,2,3,6,4
2,28,7,1,2,2,3,5,4
1,49,6,2,2,2,3,1,2
1,40,6,1,2,2,2,7,4
1,54,2,2,3,2,3,7,2
1,54,2,1,-2,2,2,8,1
1,36,6,3,2,2,1,8,4
2,46,6,2,2,2,3,8,3
2,36,3,1,3,2,2,8,4
2,52,1,2,2,2,3,5,1
1,45,2,1,2,1,2,8,2
1,40,6,2,2,2,2,9,4
2,35,6,2,3,2,3,4,2
2,47,6,1,2,2,3,8,4
2,38,6,1,2,2,3,9,2
2,42,6,1,3,2,1,8,2
2,31,1,1,3,2,2,6,1
1,68,1,2,2,2,2,9,2
2,40,3,1,2,2,2,6,4
1,48,2,1,2,2,1,8,2
1,28,6,2,2,2,3,6,2
1,47,2,2,2,2,3,10,2
2,34,3,2,-2,2,4,7,4
2,28,3,2,3,2,2,6,4
2,31,2,3,3,2,2,7,2
2,70,1,2,2,2,3,6,3
2,47,6,1,3,2,2,9,2
1,62,3,1,2,2,3,10,2
1,41,3,1,2,2,4,8,2
1,28,7,1,2,2,3,5,4
1,29,3,4,3,3,3,6,2
2,37,2,2,1,1,2,10,2
2,63,1,1,2,2,3,6,2
1,36,3,2,2,2,2,8,1
2,40,3,2,2,2,3,6,2
1,21,6,1,2,2,3,8,5
2,63,1,1,2,1,3,10,4
2,26,6,2,2,2,3,9,5
2,37,2,2,3,3,3,5,4
2,32,6,2,2,2,3,5,1
1,50,1,3,2,2,1,7,2
1,68,1,2,1,1,1,9,2
1,19,2,2,1,1,3,8,4
2,40,6,2,2,2,3,7,2
1,40,2,2,2,2,2,8,4
2,43,3,2,2,2,3,7,2
2,63,0,1,2,-2,2,9,4
1,42,2,1,2,2,2,3,4
2,52,2,1,2,2,3,10,4
2,48,1,1,2,2,3,9,2
2,52,1,2,2,2,2,8,4
2,44,2,2,2,2,4,1,4
2,47,1,1,2,2,2,9,2
2,56,1,1,3,3,2,10,2
1,40,2,1,2,2,2,7,4
1,31,6,2,2,2,4,6,4
2,47,1,1,2,2,4,7,2
2,24,1,1,2,2,3,8,2
2,46,2,2,2,2,3,10,2
2,70,1,2,2,2,3,7,2
1,56,1,2,2,2,1,6,2
1,52,2,2,2,2,3,7,2
1,50,1,1,3,3,3,5,2
2,30,3,1,1,1,3,10,2
2,51,2,-2,2,2,1,6,2
2,40,3,1,4,3,3,4,2
2,27,6,2,2,2,2,10,4
2,37,2,2,2,2,2,1,2
1,51,2,1,2,2,2,8,3
1,63,1,1,2,2,2,8,4
1,27,6,1,2,2,3,5,2
2,56,2,1,1,1,3,8,2
2,64,1,1,2,2,3,10,4
2,31,3,2,3,2,4,4,4
1,52,1,2,2,2,3,10,2
1,56,2,1,2,2,2,3,2
2,64,0,1,3,3,3,8,1
2,49,2,1,2,2,2,9,2
2,51,2,2,2,2,3,6,2
2,29,6,2,2,2,2,7,4
2,41,6,1,3,2,3,3,4
2,39,3,2,2,1,4,8,4
2,37,6,1,3,3,2,8,2
1,48,1,1,2,2,3,6,2
1,43,6,1,2,2,2,8,2
2,66,1,1,2,2,1,10,2
1,46,3,1,2,1,2,8,2
2,39,3,1,2,2,3,9,4
2,35,3,1,3,3,3,4,2
2,68,1,2,2,2,2,7,4
1,47,2,2,2,2,2,8,2
2,66,2,1,2,2,3,8,2
2,34,6,2,2,2,3,8,4
2,50,1,2,2,2,3,5,2
2,39,3,2,2,2,4,7,4
2,34,-2,2,3,2,2,6,4
2,69,1,1,2,1,3,8,2
